"bluestock_fintech_—_nifty_100__|__balance_sheet__|__1,312_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,fiscal_year
293.0,AXISBANK,0.0,514.0,67288.0,711996.0,34248.0,814046.0,3842.0,288.0,174056.0,635860.0,814046.0,0
294.0,AXISBANK,0.0,564.0,85776.0,797337.0,44194.0,927872.0,3912.0,483.0,155282.0,768196.0,927872.0,0
295.0,AXISBANK,0.0,613.0,102981.0,850551.0,46859.0,1001005.0,4501.0,118.0,225336.0,771050.0,1001005.0,0
296.0,AXISBANK,0.0,614.0,117647.0,1020943.0,56576.0,1195779.0,4753.0,215.0,274608.0,916203.0,1195779.0,0
297.0,AXISBANK,0.0,615.0,129166.0,1152038.0,62598.0,1344418.0,5000.0,142.0,288095.0,1051181.0,1344418.0,0
298.0,AXISBANK,0.0,617.0,156406.0,1295302.0,65913.0,1518239.0,5860.0,267.0,332354.0,1179758.0,1518239.0,0
299.0,BAJAJ-AUTO,0.0,289.0,7776.0,116.0,4461.0,12642.0,2355.0,294.0,6059.0,3934.0,12642.0,0
300.0,BAJAJ-AUTO,0.0,289.0,9878.0,59.0,5081.0,15308.0,2660.0,144.0,8448.0,4056.0,15308.0,0
301.0,BAJAJ-AUTO,0.0,289.0,10806.0,112.0,4758.0,15966.0,2448.0,255.0,8985.0,4277.0,15966.0,0
302.0,BAJAJ-AUTO,0.0,289.0,13731.0,118.0,3102.0,17240.0,2026.0,52.0,11067.0,4095.0,17240.0,0
303.0,BAJAJ-AUTO,0.0,289.0,17567.0,120.0,3661.0,21638.0,2002.0,42.0,15477.0,4117.0,21638.0,0
304.0,BAJAJ-AUTO,0.0,289.0,20136.0,121.0,4595.0,25141.0,1878.0,56.0,18895.0,4312.0,25141.0,0
305.0,BAJAJ-AUTO,0.0,289.0,22944.0,125.0,5476.0,28834.0,1764.0,48.0,20603.0,6420.0,28834.0,0
306.0,BAJAJ-AUTO,0.0,289.0,21373.0,126.0,4722.0,26510.0,1699.0,60.0,19914.0,4837.0,26510.0,0
307.0,BAJAJ-AUTO,0.0,289.0,26984.0,121.0,6207.0,33602.0,1668.0,16.0,24687.0,7232.0,33602.0,0
308.0,BAJAJ-AUTO,0.0,289.0,29570.0,123.0,5129.0,35111.0,1836.0,77.0,26634.0,6564.0,35111.0,0
309.0,BAJAJ-AUTO,0.0,283.0,29079.0,124.0,5651.0,35136.0,2842.0,85.0,26183.0,6026.0,35136.0,0
