"bluestock_fintech_—_nifty_100__|__cash_flow__|__1,187_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,fiscal_year
263.0,BAJFINANCE,0.0,-37090.0,6347.0,32275.0,1532.0,0
264.0,BAJFINANCE,0.0,-42112.0,-10394.0,50675.0,-1831.0,0
265.0,BAJFINANCE,0.0,-72760.0,-7171.0,82415.0,2484.0,0
266.0,BANKBARODA,0.0,23196.0,-514.0,-790.0,21892.0,0
267.0,BANKBARODA,0.0,42233.0,-730.0,5151.0,46654.0,0
268.0,BANKBARODA,0.0,17838.0,-556.0,-6.0,17276.0,0
269.0,BANKBARODA,0.0,-10011.0,-4005.0,-616.0,-14632.0,0
270.0,BANKBARODA,0.0,17865.0,-551.0,-198.0,17116.0,0
271.0,BANKBARODA,0.0,-59692.0,-414.0,3413.0,-56692.0,0
272.0,BANKBARODA,0.0,-1449.0,-2537.0,4449.0,462.0,0
273.0,BANKBARODA,0.0,18531.0,-139.0,14729.0,33120.0,0
274.0,BANKBARODA,0.0,-887.0,-471.0,-986.0,-2344.0,0
275.0,BANKBARODA,0.0,6210.0,-3645.0,-998.0,1567.0,0
276.0,BANKBARODA,0.0,-21354.0,-1096.0,-5405.0,-27855.0,0
277.0,BANKBARODA,0.0,-6274.0,-1285.0,5476.0,-2084.0,0
278.0,BEL,0.0,-1539.0,1753.0,-158.0,56.0,0
279.0,BEL,0.0,-569.0,759.0,-213.0,-23.0,0
280.0,BEL,0.0,1434.0,-839.0,-209.0,386.0,0
281.0,BEL,0.0,2260.0,-1470.0,-318.0,472.0,0
282.0,BEL,0.0,-61.0,3115.0,-2857.0,197.0,0
283.0,BEL,0.0,-687.0,-6.0,-1202.0,-1895.0,0
284.0,BEL,0.0,1514.0,-896.0,-663.0,-45.0,0
285.0,BEL,0.0,2570.0,-649.0,-1061.0,861.0,0
286.0,BEL,0.0,5093.0,-2595.0,-1076.0,1422.0,0
287.0,BEL,0.0,4207.0,-4872.0,-1078.0,-1742.0,0
288.0,BEL,0.0,1199.0,2708.0,-1262.0,2645.0,0
289.0,BEL,0.0,4659.0,-5924.0,-1475.0,-2739.0,0
290.0,BHARTIARTL,0.0,22608.0,-18676.0,-4566.0,-634.0,0
291.0,BHARTIARTL,0.0,26233.0,-25181.0,2774.0,3826.0,0
292.0,BHARTIARTL,0.0,28059.0,-22301.0,-9672.0,-3914.0,0
293.0,BHARTIARTL,0.0,27942.0,-14091.0,-11946.0,1905.0,0
294.0,BHARTIARTL,0.0,28280.0,-30680.0,-351.0,-2752.0,0
295.0,BHARTIARTL,0.0,29854.0,-27940.0,1920.0,3835.0,0
296.0,BHARTIARTL,0.0,20070.0,-28286.0,9464.0,1248.0,0
297.0,BHARTIARTL,0.0,18129.0,-29598.0,19144.0,7675.0,0
298.0,BHARTIARTL,0.0,48205.0,-27286.0,-24910.0,-3991.0,0
299.0,BHARTIARTL,0.0,55017.0,-41478.0,-15203.0,-1664.0,0
300.0,BHARTIARTL,0.0,65325.0,-39232.0,-24470.0,1623.0,0
301.0,BHARTIARTL,0.0,78898.0,-51089.0,-27778.0,31.0,0
302.0,BHEL,0.0,1759.0,-1113.0,472.0,1118.0,0
303.0,BHEL,0.0,4512.0,-868.0,523.0,4167.0,0
304.0,BHEL,0.0,821.0,650.0,-3543.0,-2071.0,0
305.0,BHEL,0.0,374.0,23.0,-122.0,275.0,0
