"bluestock_fintech_—_nifty_100__|__profit_&_loss__|__1,276_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,fiscal_year
192.0,ASIANPAINT,0.0,20211.0,16054.0,4157.0,21.0,355.0,102.0,780.0,3629.0,24.0,2774.0,28.0,43.0,0
193.0,ASIANPAINT,0.0,21713.0,16857.0,4856.0,22.0,332.0,92.0,791.0,4304.0,26.0,3207.0,33.0,55.0,0
194.0,ASIANPAINT,0.0,29101.0,24298.0,4804.0,17.0,296.0,95.0,816.0,4188.0,26.0,3085.0,32.0,61.0,0
195.0,ASIANPAINT,0.0,34489.0,28229.0,6260.0,18.0,431.0,144.0,858.0,5689.0,26.0,4195.0,43.0,60.0,0
196.0,ASIANPAINT,0.0,35495.0,27910.0,7585.0,21.0,821.0,205.0,853.0,7348.0,24.0,5558.0,57.0,58.0,0
197.0,ASIANPAINT,0.0,34831.0,28150.0,6681.0,19.0,616.0,227.0,916.0,6155.0,0.0,4631.0,48.0,0.0,0
198.0,ATGL,0.0,1374.0,1008.0,366.0,27.0,80.0,125.0,61.0,259.0,36.0,162.0,6.0,0.0,0
199.0,ATGL,0.0,1719.0,1264.0,455.0,26.0,59.0,90.0,67.0,357.0,36.0,229.0,2.0,12.0,0
200.0,ATGL,0.0,1875.0,1280.0,595.0,32.0,44.0,41.0,51.0,547.0,20.0,436.0,4.0,6.0,0
201.0,ATGL,0.0,1696.0,991.0,704.0,42.0,30.0,40.0,63.0,631.0,25.0,463.0,4.0,6.0,0
202.0,ATGL,0.0,3038.0,2265.0,773.0,25.0,46.0,53.0,83.0,684.0,26.0,509.0,5.0,5.0,0
203.0,ATGL,0.0,4378.0,3508.0,870.0,20.0,54.0,78.0,113.0,733.0,25.0,546.0,5.0,5.0,0
204.0,ATGL,0.0,4475.0,3371.0,1104.0,25.0,62.0,111.0,158.0,896.0,26.0,668.0,6.0,4.0,0
205.0,ATGL,0.0,4826.0,3672.0,1153.0,24.0,52.0,106.0,199.0,900.0,0.0,668.0,6.0,0.0,0
206.0,BAJAJ-AUTO,0.0,20025.0,16370.0,3656.0,18.0,790.0,1.0,168.0,4277.0,29.0,3133.0,108.0,42.0,0
